risat	hijaz	sika	ajam	clip_id	mp3_path
0	0	0	1	0	0/ajam001.mp3
0	0	0	1	1	0/ajam009.mp3
0	0	0	1	2	0/ajam026.mp3
0	0	0	1	3	0/ajam043.mp3
0	0	0	1	4	0/ajam051.mp3
0	0	0	1	5	0/ajam066.mp3
0	0	0	1	6	0/ajam072.mp3
0	0	0	1	7	0/ajam090.mp3
0	0	0	1	8	0/ajam102.mp3
0	0	0	1	9	0/ajam126.mp3
0	0	0	1	10	0/ajam131.mp3
0	0	0	1	11	0/ajam157.mp3
0	0	0	1	12	0/ajam163.mp3
0	0	0	1	13	0/ajam178.mp3
0	0	0	1	14	0/ajam183.mp3
0	0	0	1	15	0/ajam192.mp3
0	0	0	1	16	0/ajam207.mp3
0	1	0	0	17	0/hijaz000.mp3
0	1	0	0	18	0/hijaz013.mp3
0	1	0	0	19	0/hijaz023.mp3
0	1	0	0	20	0/hijaz026.mp3
0	1	0	0	21	0/hijaz037.mp3
0	1	0	0	22	0/hijaz071.mp3
0	1	0	0	23	0/hijaz083.mp3
0	1	0	0	24	0/hijaz089.mp3
0	1	0	0	25	0/hijaz105.mp3
0	1	0	0	26	0/hijaz116.mp3
0	1	0	0	27	0/hijaz128.mp3
0	1	0	0	28	0/hijaz131.mp3
0	1	0	0	29	0/hijaz147.mp3
0	1	0	0	30	0/hijaz164.mp3
0	1	0	0	31	0/hijaz186.mp3
0	1	0	0	32	0/hijaz189.mp3
0	1	0	0	33	0/hijaz203.mp3
0	1	0	0	34	0/hijaz212.mp3
1	0	0	0	35	0/risat000.mp3
1	0	0	0	36	0/risat027.mp3
1	0	0	0	37	0/risat033.mp3
1	0	0	0	38	0/risat041.mp3
1	0	0	0	39	0/risat052.mp3
1	0	0	0	40	0/risat062.mp3
1	0	0	0	41	0/risat065.mp3
1	0	0	0	42	0/risat084.mp3
1	0	0	0	43	0/risat089.mp3
1	0	0	0	44	0/risat101.mp3
1	0	0	0	45	0/risat124.mp3
1	0	0	0	46	0/risat127.mp3
1	0	0	0	47	0/risat148.mp3
1	0	0	0	48	0/risat162.mp3
1	0	0	0	49	0/risat175.mp3
1	0	0	0	50	0/risat181.mp3
1	0	0	0	51	0/risat193.mp3
1	0	0	0	52	0/risat200.mp3
1	0	0	0	53	0/risat208.mp3
1	0	0	0	54	0/risat215.mp3
1	0	0	0	55	0/risat222.mp3
0	0	1	0	56	0/sika001.mp3
0	0	1	0	57	0/sika026.mp3
0	0	1	0	58	0/sika041.mp3
0	0	1	0	59	0/sika054.mp3
0	0	1	0	60	0/sika066.mp3
0	0	1	0	61	0/sika077.mp3
0	0	1	0	62	0/sika088.mp3
0	0	1	0	63	0/sika104.mp3
0	0	1	0	64	0/sika116.mp3
0	0	1	0	65	0/sika124.mp3
0	0	1	0	66	0/sika139.mp3
0	0	1	0	67	0/sika150.mp3
0	0	1	0	68	0/sika159.mp3
0	0	1	0	69	0/sika171.mp3
0	0	1	0	70	0/sika183.mp3
0	0	1	0	71	0/sika194.mp3
